ФИО,Телефон,Адрес,Дата рождения,Любимое вино
Артем Владиславович Сангрийский,+79287663366,"Новосибирск, ул. Красный Проспект, 41, кв. 9",,Wine_198
User_935,+79820926294,"Самара, ул. Стара-Загора, 92, кв. 13",1999-06-06,Wine_89
User_174,+79344449277,"Ульяновск, ул. Ленина, 82, кв. 12",1990-06-29,Wine_171
Константин Иванович Пахита,+79740991093,"Набережные Челны, пр. Химиков, 10, кв. 12",1993-09-14,Wine_512
User_784,+79009591422,"Чита, пр. Октябрьский, 81, кв. 14",1999-05-11,Wine_358
User_669,+79553780515,"Волгоград, ул. Сталинградская, 50, кв. 11",1982-03-12,Wine_449
User_1472,+79992221823,"Тверь, ул. Ленина, 67, кв. 17",1993-04-10,Wine_682
User_1043,+79691777183,"Мурманск, пр. Мира, 50, кв. 22",2000-05-21,Wine_327
User_852,+79726316428,"Набережные Челны, пр. Химиков, 9, кв. 3",1986-08-16,Wine_99
User_1225,+79005388824,"Ижевск, ул. Азина, 42, кв. 9",1994-07-04,Wine_419
User_365,+79166036240,"Мурманск, пр. Ленина, 52, кв. 5",1990-10-29,Wine_451
User_372,+79841463645,"Владимир, ул. Дзержинского, 77, кв. 15",1985-09-02,Wine_887
User_1450,+79444571952,"Тюмень, ул. Республики, 29, кв. 25",1980-03-23,Wine_402
User_1111,+79045112573,"Тула, ул. Красноармейская, 67, кв. 21",1998-05-16,Wine_447
User_593,+79198470842,"Новосибирск, ул. Сибирская, 78, кв. 21",1985-09-02,Wine_71
User_915,+79949354895,"Орел, ул. Горького, 44, кв. 22",1990-09-16,Wine_664
User_311,+79412959866,"Смоленск, ул. Романова, 25, кв. 19",1984-09-05,Wine_891
User_358,+79013060539,"Саранск, ул. Советская, 46, кв. 9",1998-12-07,Wine_337
User_1084,+79791320536,"Кемерово, ул. Красная, 93, кв. 32",1973-12-11,Wine_846
User_813,+79762721802,"Брянск, ул. Кольцевая, 33, кв. 11",1991-03-08,Wine_730
User_240,+79040277418,"Ярославль, ул. Волковская, 35, кв. 20",1981-03-21,Wine_285
User_722,+79818583990,"Псков, ул. Советская, 34, кв. 7",1994-07-04,Wine_203
User_130,+79943016458,"Саранск, ул. Советская, 46, кв. 9",1992-12-08,Wine_219
User_1486,+79807142116,"Челябинск, ул. Таганская, 41, кв. 4",1988-07-25,Wine_621
User_244,+79490918713,"Махачкала, ул. Гагарина, 24, кв. 5",1995-07-18,Wine_951
User_1313,+79274014992,"Волгоград, ул. Сталинградская, 50, кв. 11",1999-05-11,Wine_399
User_338,+79912071901,"Каменск-Уральский, ул. Гагарина, 44, кв. 18",1998-01-03,Wine_629
Ольга Валентиновна Абсент,+79175564813,"Курган, ул. Пушкина, 49, кв. 18",1995-07-10,Wine_965
Михаил Иванович Вермутов,+79314306523,"Новороссийск, ул. Курортная, 51, кв. 15",1991-01-29,Wine_638
User_773,+79597037635,"Пенза, пр. Победы, 90, кв. 12",1998-01-03,Wine_296
Людмила Артемовна Каберне,+79983686439,"Ижевск, ул. Азина, 42, кв. 9",1991-01-29,Wine_337
User_930,+79460208062,"Челябинск, ул. Таганская, 41, кв. 4",1988-07-25,Wine_966
User_396,+79335775386,"Брянск, ул. Кольцевая, 33, кв. 11",1990-08-04,Wine_891
User_814,+79188634985,"Курск, ул. Ленина, 43, кв. 28",1983-03-01,Wine_204
User_268,+79689685864,"Тула, пр. Ленина, 33, кв. 14",1995-04-25,Wine_699
User_310,+79738461795,"Белгород, пр. Бульварный, 12, кв. 8",1997-04-22,Wine_619
User_897,+79723554672,"Новосибирск, ул. Сибирская, 78, кв. 21",2003-09-30,Wine_651
User_1179,+79826543524,"Череповец, ул. Ленина, 82, кв. 14",2003-06-09,Wine_954
User_729,+79361452095,"Набережные Челны, пр. Химиков, 10, кв. 12",1991-03-08,Wine_526
User_460,+79227014700,"Ростов-на-Дону, ул. Строителей, 55, кв. 7",1986-08-16,Wine_32
User_1293,+79628346765,"Москва, ул. Арбат, 64, кв. 22",1989-02-11,Wine_325
User_1170,+79382893507,"Вологда, ул. Победы, 62, кв. 11",1993-11-30,Wine_613
User_482,+79415591611,"Омск, ул. Челюскинцев, 89, кв. 8",1981-11-06,Wine_102
Сергей Владимирович Водка,+79057392182,"Воронеж, пр. Мира, 59, кв. 6",1978-05-15,Wine_910
User_1490,+79354919750,"Ставрополь, ул. Лермонтова, 34, кв. 18",1994-05-25,Wine_165
User_1430,+79698189232,"Белгород, пр. Бульварный, 12, кв. 8",1972-02-14,Wine_755
User_1015,+79681483822,"Белгород, пр. Бульварный, 12, кв. 8",1997-04-22,Wine_771
User_576,+79874398906,"Казань, ул. Баумана, 19, кв. 12",1994-07-04,Wine_938
User_662,+79756277639,"Казань, пр. Победы, 17, кв. 6",1977-07-11,Wine_793
User_493,+79186841588,"Рязань, ул. Дзержинского, 26, кв. 5",1982-03-12,Wine_456
User_951,+79416105947,"Рязань, ул. Дзержинского, 26, кв. 5",1991-07-15,Wine_918
User_683,+79531314206,"Калуга, ул. Московская, 87, кв. 16",1992-12-08,Wine_847
User_1020,+79916023789,"Пермь, ул. Куйбышева, 98, кв. 10",1986-08-16,Wine_771
User_1326,+79647498203,"Калуга, ул. Московская, 87, кв. 16",1998-01-03,Wine_481
User_1333,+79190272911,"Новосибирск, ул. Дзержинского, 80, кв. 15",1999-02-13,Wine_312
User_1006,+79583547989,"Самара, ул. Стара-Загора, 92, кв. 13",1990-10-29,Wine_9
User_388,+79494567659,"Курск, ул. Ленина, 43, кв. 28",1990-10-22,Wine_385
User_1055,+79170554012,"Оренбург, ул. Карла Маркса, 84, кв. 16",1986-11-21,Wine_88
User_943,+79795951333,"Тольятти, ул. Ворошилова, 29, кв. 13",1983-11-19,Wine_439
User_1463,+79515897620,"Тольятти, ул. Ворошилова, 29, кв. 13",1981-03-21,Wine_211
User_944,+79131011720,"Смоленск, ул. Романова, 25, кв. 19",1997-02-10,Wine_462
User_149,+79576002004,"Петрозаводск, ул. Карла Либкнехта, 89, кв. 13",1982-03-12,Wine_361
User_891,+79235269440,"Уфа, ул. Ленина, 27, кв. 13",1993-11-30,Wine_511
User_936,+79208293253,"Петрозаводск, ул. Карла Либкнехта, 89, кв. 13",1980-03-23,Wine_123
Михаил Борисович Винодел,+79528661703,"Курск, пр. Октябрьский, 57, кв. 13",1990-08-04,Wine_211
User_589,+79809607402,"Екатеринбург, ул. Ленина, 23, кв. 5",1984-09-05,Wine_871
User_943,+79795951333,"Тольятти, ул. Ворошилова, 29, кв. 13",1983-11-19,Wine_807
User_425,+79206123153,"Набережные Челны, пр. Химиков, 9, кв. 3",1998-01-03,Wine_770
User_1225,+79005388824,"Ижевск, ул. Азина, 42, кв. 9",1994-07-04,Wine_537
Людмила Анатольевна Грапова,+79445072724,"Белгород, пр. Бульварный, 12, кв. 8",1994-05-20,Wine_421
User_1268,+79648598585,"Сочи, ул. Красная, 59, кв. 21",2002-11-25,Wine_870
User_1013,+79159314733,"Челябинск, ул. Таганская, 41, кв. 4",1989-02-11,Wine_970
Игорь Борисович Граппа,+79251334304,"Челябинск, ул. Кирова, 10, кв. 7",1983-11-19,Wine_843
User_1261,+79560468759,"Тверь, ул. Пролетарская, 57, кв. 8",1997-04-17,Wine_887
User_919,+79090554395,"Казань, ул. Баумана, 56, кв. 12",1994-05-25,Wine_210
User_968,+79135599204,"Москва, ул. Арбат, 64, кв. 22",1984-06-13,Wine_570
User_182,+79182094778,"Самара, ул. Стара-Загора, 92, кв. 13",,Wine_915
User_1150,+79823737107,"Смоленск, ул. Романова, 25, кв. 19",1995-04-25,Wine_222
User_775,+79442139219,"Пенза, ул. Тихонова, 24, кв. 8",1991-03-14,Wine_280
User_283,+79284038526,"Владимир, ул. Дзержинского, 77, кв. 15",1978-05-15,Wine_393
User_314,+79633527732,"Пермь, ул. Куйбышева, 98, кв. 10",1994-09-19,Wine_897
Евгений Николаевич Руби,+79899612499,"Воронеж, ул. Свердлова, 59, кв. 3",,Wine_645
User_617,+79166199233,"Чита, пр. Октябрьский, 81, кв. 14",2002-11-25,Wine_667
User_675,+79664029345,"Кострома, ул. Красной Армии, 72, кв. 14",1991-03-14,Wine_978
User_340,+79695185443,"Саратов, ул. Гагарина, 92, кв. 22",1995-07-10,Wine_528
User_213,+79933068533,"Курск, ул. Ленина, 43, кв. 28",1983-11-19,Wine_216
User_707,+79960487612,"Барнаул, ул. Советская, 65, кв. 32",1980-12-29,Wine_853
User_318,+79217579232,"Саратов, ул. Гагарина, 92, кв. 22",1995-07-10,Wine_826
User_1369,+79273652677,"Сыктывкар, ул. Ленина, 62, кв. 21",1990-08-04,Wine_13
User_565,+79722394301,"Пенза, пр. Победы, 90, кв. 12",1993-09-14,Wine_453
User_150,+79478881295,"Казань, пр. Победы, 17, кв. 6",1997-04-17,Wine_918
User_802,+79452596801,"Ярославль, ул. Волковская, 35, кв. 20",1994-05-25,Wine_838
User_1279,+79702022565,"Тверь, ул. Пролетарская, 57, кв. 8",1976-02-02,Wine_58
User_359,+79912675608,"Каменск-Уральский, ул. Гагарина, 44, кв. 18",2002-09-09,Wine_972
Оксана Вячеславовна Сангрия,+79621693665,"Курск, пр. Октябрьский, 57, кв. 13",2002-03-10,Wine_809
User_1237,+79626951438,"Красноярск, ул. Мира, 15, кв. 3",1993-04-10,Wine_894
User_893,+79322560999,"Казань, ул. Баумана, 19, кв. 12",1986-11-21,Wine_584
User_533,+79297237727,"Кемерово, ул. Красная, 93, кв. 32",1990-10-22,Wine_589
User_1242,+79019806214,"Брянск, пр. Славы, 67, кв. 6",1986-08-16,Wine_657
User_1291,+79803668898,"Ростов-на-Дону, пр. Стачки, 64, кв. 14",1998-12-07,Wine_434
Ирина Юрьевна Шардонова,+79339064754,"Рязань, ул. Дзержинского, 26, кв. 5",1993-04-10,Wine_205
